Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,Inflation
1928,43.81%,59.91%,3.08%,0.84%,3.22%,1.49%,0.10%,-1.16
1929,-8.30%,-46.61%,3.16%,4.20%,3.02%,-2.06%,-0.15%,0.58
1930,-25.12%,-50.03%,4.55%,4.54%,0.54%,-4.30%,0.10%,-6.40
1931,-43.84%,-44.66%,2.31%,-2.56%,-15.68%,-8.15%,-17.38%,-9.32
1932,-8.64%,20.49%,1.07%,8.79%,23.59%,-10.47%,21.28%,-10.27
1933,49.98%,148.34%,0.96%,1.86%,12.97%,-3.81%,27.26%,0.76
1934,-1.19%,20.01%,0.28%,7.96%,18.82%,2.91%,31.75%,1.52
1935,46.74%,53.18%,0.17%,4.47%,13.31%,9.77%,0.43%,2.99
1936,31.94%,92.82%,0.17%,5.02%,11.38%,3.22%,0.09%,1.45
1937,-35.34%,-53.28%,0.28%,1.38%,-4.42%,2.56%,-0.23%,2.86
1938,29.28%,1.60%,0.07%,4.21%,9.24%,-0.87%,0.17%,-2.78
1939,-1.10%,-5.73%,0.05%,4.41%,7.98%,-1.30%,-1.23%,0.00
1940,-10.67%,-31.81%,0.04%,5.40%,8.65%,3.31%,-1.66%,0.71
1941,-12.77%,-5.54%,0.13%,-2.02%,5.01%,-8.38%,0.00%,9.93
1942,19.17%,61.79%,0.34%,2.29%,5.18%,3.33%,0.00%,9.03
1943,25.06%,137.97%,0.38%,2.49%,8.04%,11.45%,0.00%,2.96
1944,19.03%,69.73%,0.38%,2.58%,6.57%,16.58%,0.00%,2.30
1945,35.82%,91.09%,0.38%,3.80%,6.80%,11.78%,2.54%,2.25
1946,-8.43%,-15.32%,0.38%,3.13%,2.51%,24.10%,0.00%,18.13
1947,5.20%,-0.96%,0.60%,0.92%,0.26%,21.26%,0.00%,8.84
1948,5.70%,-0.71%,1.05%,1.95%,3.44%,2.06%,0.00%,2.99
1949,18.30%,27.22%,1.12%,4.66%,5.38%,0.09%,-8.70%,-2.07
1950,30.81%,52.78%,1.20%,0.43%,4.24%,3.64%,9.56%,5.93
1951,23.68%,3.92%,1.52%,-0.30%,-0.19%,6.05%,0.00%,6.00
1952,18.15%,1.19%,1.72%,2.27%,4.44%,4.41%,-0.35%,0.75
1953,-1.21%,-5.80%,1.89%,4.14%,1.62%,11.52%,0.69%,0.75
1954,52.56%,63.90%,0.94%,3.29%,6.16%,0.92%,0.57%,-0.74
1955,32.60%,27.09%,1.72%,-1.34%,2.04%,0.00%,-0.03%,0.37
1956,7.44%,-0.99%,2.62%,-2.26%,-2.35%,0.91%,-0.11%,2.99
1957,-10.46%,-15.25%,3.22%,6.80%,-0.72%,2.72%,-0.11%,2.90
1958,43.72%,69.35%,1.77%,-2.10%,6.43%,0.66%,0.43%,1.76
1959,12.06%,12.74%,3.39%,-2.65%,1.57%,0.11%,0.00%,1.73
1960,0.34%,-3.49%,2.87%,11.64%,6.66%,0.77%,0.48%,1.36
1961,26.64%,29.83%,2.35%,2.06%,5.10%,0.98%,-0.06%,0.67
1962,-8.81%,-9.76%,2.77%,5.69%,6.50%,0.32%,-0.06%,1.33
1963,22.61%,19.93%,3.16%,1.68%,5.46%,2.14%,-0.40%,1.64
1964,16.42%,23.15%,3.55%,3.73%,5.16%,1.26%,0.03%,0.97
1965,12.40%,45.66%,3.95%,0.72%,3.19%,1.66%,0.06%,1.92
1966,-9.97%,-9.49%,4.86%,2.91%,-3.45%,1.22%,0.03%,3.46
1967,23.80%,116.79%,4.29%,-1.58%,0.90%,2.32%,-0.51%,3.04
