Date,"Solar Production, KWh","Wind Production, KWh (avg)",SolarScalingFactor,WindScalingFactor,SolarNormalized,WindNormalized,SolarScaled,WindScaled,ProductionCombined,Baseload
1990-01-01 00:00:00,0.0,16.68,6.88,20.35,0.0,0.4,0.0,8.09,8.09,11.53
1990-01-01 01:00:00,0.0,16.42,6.88,20.35,0.0,0.39,0.0,7.97,7.97,11.53
1990-01-01 02:00:00,0.0,15.2,6.88,20.35,0.0,0.36,0.0,7.38,7.38,11.53
1990-01-01 03:00:00,0.0,22.34,6.88,20.35,0.0,0.53,0.0,10.84,10.84,11.53
1990-01-01 04:00:00,0.0,18.79,6.88,20.35,0.0,0.45,0.0,9.12,9.12,11.53
1990-01-01 05:00:00,0.0,23.19,6.88,20.35,0.0,0.55,0.0,11.25,11.25,11.53
1990-01-01 06:00:00,0.0,24.05,6.88,20.35,0.0,0.57,0.0,11.67,11.67,11.53
1990-01-01 07:00:00,0.0,21.52,6.88,20.35,0.0,0.51,0.0,10.44,10.44,11.53
1990-01-01 08:00:00,-0.5,25.81,6.88,20.35,-0.0,0.62,-0.0,12.52,12.52,11.53
1990-01-01 09:00:00,310.87,27.04,6.88,20.35,0.03,0.64,0.23,13.12,13.34,11.53
1990-01-01 10:00:00,683.36,27.17,6.88,20.35,0.07,0.65,0.5,13.18,13.68,11.53
1990-01-01 11:00:00,882.05,25.88,6.88,20.35,0.09,0.62,0.64,12.56,13.2,11.53
1990-01-01 12:00:00,977.08,19.85,6.88,20.35,0.1,0.47,0.71,9.63,10.34,11.53
1990-01-01 13:00:00,637.36,18.08,6.88,20.35,0.07,0.43,0.46,8.77,9.24,11.53
1990-01-01 14:00:00,242.64,17.89,6.88,20.35,0.03,0.43,0.18,8.68,8.85,11.53
1990-01-01 15:00:00,-0.5,16.9,6.88,20.35,-0.0,0.4,-0.0,8.2,8.2,11.53
1990-01-01 16:00:00,0.0,13.29,6.88,20.35,0.0,0.32,0.0,6.45,6.45,11.53
1990-01-01 17:00:00,0.0,14.46,6.88,20.35,0.0,0.34,0.0,7.02,7.02,11.53
1990-01-01 18:00:00,0.0,12.84,6.88,20.35,0.0,0.31,0.0,6.23,6.23,11.53
1990-01-01 19:00:00,0.0,7.17,6.88,20.35,0.0,0.17,0.0,3.48,3.48,11.53
1990-01-01 20:00:00,0.0,7.41,6.88,20.35,0.0,0.18,0.0,3.6,3.6,11.53
1990-01-01 21:00:00,0.0,8.66,6.88,20.35,0.0,0.21,0.0,4.2,4.2,11.53
1990-01-01 22:00:00,0.0,6.39,6.88,20.35,0.0,0.15,0.0,3.1,3.1,11.53
1990-01-01 23:00:00,0.0,8.9,6.88,20.35,0.0,0.21,0.0,4.32,4.32,11.53
1990-01-02 00:00:00,0.0,13.28,6.88,20.35,0.0,0.32,0.0,6.44,6.44,11.53
1990-01-02 01:00:00,0.0,18.37,6.88,20.35,0.0,0.44,0.0,8.91,8.91,11.53
1990-01-02 02:00:00,0.0,20.12,6.88,20.35,0.0,0.48,0.0,9.76,9.76,11.53
1990-01-02 03:00:00,0.0,23.97,6.88,20.35,0.0,0.57,0.0,11.63,11.63,11.53
1990-01-02 04:00:00,0.0,22.9,6.88,20.35,0.0,0.55,0.0,11.11,11.11,11.53
1990-01-02 05:00:00,0.0,23.57,6.88,20.35,0.0,0.56,0.0,11.44,11.44,11.53
1990-01-02 06:00:00,0.0,23.18,6.88,20.35,0.0,0.55,0.0,11.25,11.25,11.53
1990-01-02 07:00:00,0.0,25.77,6.88,20.35,0.0,0.61,0.0,12.5,12.5,11.53
1990-01-02 08:00:00,-0.5,27.77,6.88,20.35,-0.0,0.66,-0.0,13.48,13.48,11.53
1990-01-02 09:00:00,284.55,27.15,6.88,20.35,0.03,0.65,0.21,13.17,13.38,11.53
1990-01-02 10:00:00,537.96,27.16,6.88,20.35,0.06,0.65,0.39,13.18,13.57,11.53
1990-01-02 11:00:00,731.8,27.24,6.88,20.35,0.08,0.65,0.53,13.21,13.75,11.53
1990-01-02 12:00:00,748.64,27.79,6.88,20.35,0.08,0.66,0.54,13.48,14.02,11.53
1990-01-02 13:00:00,550.63,27.73,6.88,20.35,0.06,0.66,0.4,13.45,13.85,11.53
1990-01-02 14:00:00,200.45,27.94,6.88,20.35,0.02,0.67,0.15,13.56,13.7,11.53
1990-01-02 15:00:00,-0.5,27.95,6.88,20.35,-0.0,0.67,-0.0,13.56,13.56,11.53
1990-01-02 16:00:00,0.0,27.72,6.88,20.35,0.0,0.66,0.0,13.45,13.45,11.53
1990-01-02 17:00:00,0.0,25.57,6.88,20.35,0.0,0.61,0.0,12.41,12.41,11.53
1990-01-02 18:00:00,0.0,27.9,6.88,20.35,0.0,0.67,0.0,13.53,13.53,11.53
1990-01-02 19:00:00,0.0,27.95,6.88,20.35,0.0,0.67,0.0,13.56,13.56,11.53
1990-01-02 20:00:00,0.0,27.94,6.88,20.35,0.0,0.67,0.0,13.56,13.56,11.53
1990-01-02 21:00:00,0.0,27.95,6.88,20.35,0.0,0.67,0.0,13.56,13.56,11.53
1990-01-02 22:00:00,0.0,25.95,6.88,20.35,0.0,0.62,0.0,12.59,12.59,11.53
1990-01-02 23:00:00,0.0,26.21,6.88,20.35,0.0,0.62,0.0,12.72,12.72,11.53
1990-01-03 00:00:00,0.0,26.37,6.88,20.35,0.0,0.63,0.0,12.79,12.79,11.53
1990-01-03 01:00:00,0.0,26.61,6.88,20.35,0.0,0.63,0.0,12.91,12.91,11.53
1990-01-03 02:00:00,0.0,26.7,6.88,20.35,0.0,0.64,0.0,12.95,12.95,11.53
1990-01-03 03:00:00,0.0,26.8,6.88,20.35,0.0,0.64,0.0,13.0,13.0,11.53
1990-01-03 04:00:00,0.0,26.76,6.88,20.35,0.0,0.64,0.0,12.99,12.99,11.53
1990-01-03 05:00:00,0.0,25.74,6.88,20.35,0.0,0.61,0.0,12.49,12.49,11.53
1990-01-03 06:00:00,0.0,24.53,6.88,20.35,0.0,0.58,0.0,11.9,11.9,11.53
1990-01-03 07:00:00,0.0,17.84,6.88,20.35,0.0,0.43,0.0,8.66,8.66,11.53
1990-01-03 08:00:00,-0.5,23.24,6.88,20.35,-0.0,0.55,-0.0,11.28,11.28,11.53
1990-01-03 09:00:00,369.07,21.32,6.88,20.35,0.04,0.51,0.27,10.34,10.61,11.53
1990-01-03 10:00:00,555.19,17.87,6.88,20.35,0.06,0.43,0.4,8.67,9.08,11.53
1990-01-03 11:00:00,782.95,19.92,6.88,20.35,0.08,0.47,0.57,9.67,10.23,11.53
1990-01-03 12:00:00,672.6,22.19,6.88,20.35,0.07,0.53,0.49,10.76,11.25,11.53
1990-01-03 13:00:00,474.5,26.74,6.88,20.35,0.05,0.64,0.34,12.97,13.32,11.53
1990-01-03 14:00:00,121.62,28.13,6.88,20.35,0.01,0.67,0.09,13.65,13.74,11.53
1990-01-03 15:00:00,-0.5,28.14,6.88,20.35,-0.0,0.67,-0.0,13.65,13.65,11.53
1990-01-03 16:00:00,0.0,28.12,6.88,20.35,0.0,0.67,0.0,13.64,13.64,11.53
1990-01-03 17:00:00,0.0,30.46,6.88,20.35,0.0,0.73,0.0,14.78,14.78,11.53
1990-01-03 18:00:00,0.0,33.9,6.88,20.35,0.0,0.81,0.0,16.45,16.45,11.53
1990-01-03 19:00:00,0.0,35.68,6.88,20.35,0.0,0.85,0.0,17.31,17.31,11.53
1990-01-03 20:00:00,0.0,34.64,6.88,20.35,0.0,0.83,0.0,16.81,16.81,11.53
1990-01-03 21:00:00,0.0,30.3,6.88,20.35,0.0,0.72,0.0,14.7,14.7,11.53
1990-01-03 22:00:00,0.0,29.39,6.88,20.35,0.0,0.7,0.0,14.26,14.26,11.53
1990-01-03 23:00:00,0.0,29.48,6.88,20.35,0.0,0.7,0.0,14.3,14.3,11.53
1990-01-04 00:00:00,0.0,28.81,6.88,20.35,0.0,0.69,0.0,13.98,13.98,11.53
1990-01-04 01:00:00,0.0,27.09,6.88,20.35,0.0,0.65,0.0,13.15,13.15,11.53
1990-01-04 02:00:00,0.0,23.73,6.88,20.35,0.0,0.57,0.0,11.51,11.51,11.53
1990-01-04 03:00:00,0.0,26.27,6.88,20.35,0.0,0.63,0.0,12.74,12.74,11.53
1990-01-04 04:00:00,0.0,26.03,6.88,20.35,0.0,0.62,0.0,12.63,12.63,11.53
1990-01-04 05:00:00,0.0,25.43,6.88,20.35,0.0,0.61,0.0,12.34,12.34,11.53
1990-01-04 06:00:00,0.0,24.94,6.88,20.35,0.0,0.59,0.0,12.1,12.1,11.53
1990-01-04 07:00:00,0.0,25.14,6.88,20.35,0.0,0.6,0.0,12.2,12.2,11.53
1990-01-04 08:00:00,-0.5,30.58,6.88,20.35,-0.0,0.73,-0.0,14.84,14.84,11.53
1990-01-04 09:00:00,925.02,28.31,6.88,20.35,0.1,0.68,0.67,13.74,14.41,11.53
1990-01-04 10:00:00,666.81,24.02,6.88,20.35,0.07,0.57,0.48,11.66,12.14,11.53
1990-01-04 11:00:00,665.79,22.98,6.88,20.35,0.07,0.55,0.48,11.15,11.63,11.53
1990-01-04 12:00:00,1912.0,19.79,6.88,20.35,0.2,0.47,1.39,9.6,10.99,11.53
1990-01-04 13:00:00,596.03,19.24,6.88,20.35,0.06,0.46,0.43,9.33,9.77,11.53
1990-01-04 14:00:00,1070.3,18.67,6.88,20.35,0.11,0.45,0.78,9.06,9.83,11.53
1990-01-04 15:00:00,48.9,15.74,6.88,20.35,0.01,0.38,0.04,7.64,7.67,11.53
1990-01-04 16:00:00,0.0,20.36,6.88,20.35,0.0,0.49,0.0,9.88,9.88,11.53
1990-01-04 17:00:00,0.0,20.68,6.88,20.35,0.0,0.49,0.0,10.03,10.03,11.53
1990-01-04 18:00:00,0.0,18.93,6.88,20.35,0.0,0.45,0.0,9.19,9.19,11.53
1990-01-04 19:00:00,0.0,17.25,6.88,20.35,0.0,0.41,0.0,8.37,8.37,11.53
1990-01-04 20:00:00,0.0,17.68,6.88,20.35,0.0,0.42,0.0,8.58,8.58,11.53
1990-01-04 21:00:00,0.0,19.8,6.88,20.35,0.0,0.47,0.0,9.61,9.61,11.53
1990-01-04 22:00:00,0.0,24.27,6.88,20.35,0.0,0.58,0.0,11.77,11.77,11.53
1990-01-04 23:00:00,0.0,24.46,6.88,20.35,0.0,0.58,0.0,11.87,11.87,11.53
1990-01-05 00:00:00,0.0,25.07,6.88,20.35,0.0,0.6,0.0,12.16,12.16,11.53
1990-01-05 01:00:00,0.0,24.51,6.88,20.35,0.0,0.58,0.0,11.89,11.89,11.53
1990-01-05 02:00:00,0.0,25.77,6.88,20.35,0.0,0.61,0.0,12.5,12.5,11.53
1990-01-05 03:00:00,0.0,21.7,6.88,20.35,0.0,0.52,0.0,10.53,10.53,11.53
1990-01-05 04:00:00,0.0,20.54,6.88,20.35,0.0,0.49,0.0,9.96,9.96,11.53
1990-01-05 05:00:00,0.0,22.81,6.88,20.35,0.0,0.54,0.0,11.07,11.07,11.53
1990-01-05 06:00:00,0.0,27.39,6.88,20.35,0.0,0.65,0.0,13.29,13.29,11.53
1990-01-05 07:00:00,0.0,30.05,6.88,20.35,0.0,0.72,0.0,14.58,14.58,11.53
